Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content
Beef with Vegetables,Arunachal Pradesh,non-veg,none,400,30,25.0,30,6,800,Vitamin B
Spicy Chicken Curry,Arunachal Pradesh,non-veg,none,400,35,25.0,30,7,800,Vitamin B
Vegetable Dumplings,Arunachal Pradesh,veg,gluten,300,40,10.0,10,6,700,"Vitamin A, C"
Pork with Herbs,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Chicken Stir Fry,Arunachal Pradesh,non-veg,none,300,25,15.0,25,4,600,Vitamin B
Vegetable Biryani with Raita,Arunachal Pradesh,veg,dairy,400,50,15.0,12,5,800,"Vitamin A, C"
Pork with Spinach,Arunachal Pradesh,non-veg,none,350,30,20.0,25,5,700,Vitamin B
Chicken Salad with Greens,Arunachal Pradesh,non-veg,none,250,20,15.0,20,2,400,"Vitamin B, C"
Spicy Pork with Rice,Arunachal Pradesh,non-veg,none,400,45,25.0,30,6,800,Vitamin B
Vegetable Pakora with Chutney,Arunachal Pradesh,veg,gluten,300,35,12.0,6,4,600,"Vitamin A, C"
Chicken with Spices,Arunachal Pradesh,non-veg,none,350,25,20.0,30,5,700,Vitamin B
Beef with Potatoes,Arunachal Pradesh,non-veg,none,400,30,25.0,30,6,800,Vitamin B
Vegetable Stir Fry with Rice,Arunachal Pradesh,veg,gluten,350,50,10.0,10,5,800,"Vitamin A, C"
Chicken and Vegetable Soup,Arunachal Pradesh,non-veg,none,200,20,5.0,15,2,300,Vitamin B
Pork and Vegetable Stew,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Rice with Curry,Arunachal Pradesh,veg,gluten,350,50,10.0,12,5,800,"Vitamin A, C"
Chicken with Mushrooms,Arunachal Pradesh,non-veg,none,300,25,15.0,25,4,600,Vitamin B
Pork with Noodles,Arunachal Pradesh,non-veg,gluten,400,50,15.0,30,5,800,Vitamin B
Vegetable Curry with Rice,Arunachal Pradesh,veg,gluten,400,50,10.0,15,6,800,"Vitamin A, C"
Chicken and Rice Soup,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Beef with Rice,Arunachal Pradesh,non-veg,none,400,35,25.0,30,6,800,Vitamin B
Spicy Vegetable Soup,Arunachal Pradesh,veg,none,200,25,5.0,8,4,300,"Vitamin A, C"
Chicken Curry with Spinach,Arunachal Pradesh,non-veg,none,350,30,20.0,25,5,700,Vitamin B
Pork and Rice,Arunachal Pradesh,non-veg,none,400,40,25.0,30,6,800,Vitamin B
Vegetable Fritters,Arunachal Pradesh,veg,gluten,250,30,10.0,5,2,500,"Vitamin A, C"
Chicken Skewers,Arunachal Pradesh,non-veg,none,300,15,20.0,25,4,600,Vitamin B
Pork with Green Veggies,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Spicy Fried Noodles,Arunachal Pradesh,veg,gluten,350,50,10.0,15,7,800,"Vitamin A, C"
Chicken and Spinach Soup,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Pork with Cabbage,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Vegetable Kebab,Arunachal Pradesh,veg,gluten,300,40,10.0,10,6,700,"Vitamin A, C"
Chicken and Vegetable Biryani,Arunachal Pradesh,non-veg,gluten,450,50,15.0,30,6,800,Vitamin B
Pork with Potatoes and Beans,Arunachal Pradesh,non-veg,none,400,30,25.0,30,6,800,Vitamin B
Vegetable Stir Fry with Rice,Arunachal Pradesh,veg,gluten,350,50,10.0,12,5,800,"Vitamin A, C"
Chicken Soup with Rice,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Pork Curry with Rice,Arunachal Pradesh,non-veg,none,400,35,25.0,30,6,800,Vitamin B
Vegetable Pakoras with Mint Chutney,Arunachal Pradesh,veg,gluten,300,35,12.0,6,4,600,"Vitamin A, C"
Chicken with Beans,Arunachal Pradesh,non-veg,none,350,25,20.0,25,5,700,Vitamin B
Pork Stir Fry,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Spicy Vegetable Biryani,Arunachal Pradesh,veg,gluten,350,50,10.0,15,7,800,"Vitamin A, C"
Chicken Curry with Vegetables,Arunachal Pradesh,non-veg,none,400,35,25.0,30,6,800,Vitamin B
Pork with Pumpkin,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Soup with Barley,Arunachal Pradesh,veg,gluten,250,30,5.0,8,4,500,"Vitamin A, C"
Chicken with Carrots,Arunachal Pradesh,non-veg,none,300,20,15.0,25,4,600,Vitamin B
Pork and Potato Stew,Arunachal Pradesh,non-veg,none,400,30,25.0,30,6,800,Vitamin B
Vegetable Fritters with Chutney,Arunachal Pradesh,veg,gluten,250,30,10.0,5,2,500,"Vitamin A, C"
Chicken Skewers with Vegetables,Arunachal Pradesh,non-veg,none,300,15,20.0,25,4,600,Vitamin B
Pork with Eggplant,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Spicy Vegetable Noodles,Arunachal Pradesh,veg,gluten,350,50,10.0,15,7,800,"Vitamin A, C"
Chicken and Mushroom Soup,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Pork with Peppers,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Korma with Rice,Arunachal Pradesh,veg,dairy,400,50,15.0,12,5,800,"Vitamin A, C"
Chicken and Spinach Curry,Arunachal Pradesh,non-veg,none,350,30,20.0,25,5,700,Vitamin B
Pork with Sweet Potatoes,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Biryani with Cucumber Raita,Arunachal Pradesh,veg,dairy,400,50,15.0,12,5,800,"Vitamin A, C"
Chicken Curry with Spinach,Arunachal Pradesh,non-veg,none,400,35,25.0,30,6,800,Vitamin B
Pork with Green Beans and Carrots,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Vegetable Pakoras with Tomato Chutney,Arunachal Pradesh,veg,gluten,250,35,12.0,6,4,600,"Vitamin A, C"
Chicken and Vegetable Stir Fry,Arunachal Pradesh,non-veg,none,300,25,15.0,25,4,600,Vitamin B
Pork with Mushrooms,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Spicy Vegetable Stew,Arunachal Pradesh,veg,none,200,25,5.0,8,4,300,"Vitamin A, C"
Chicken Soup with Vegetables,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Pork with Spinach and Carrots,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Rice with Lentils,Arunachal Pradesh,veg,gluten,350,50,10.0,15,6,800,"Vitamin A, C"
Chicken and Beans Soup,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Pork Curry with Eggplant,Arunachal Pradesh,non-veg,none,400,30,25.0,30,6,800,Vitamin B
Vegetable Fritters with Yogurt Dip,Arunachal Pradesh,veg,gluten,250,30,10.0,5,2,500,"Vitamin A, C"
Chicken and Vegetable Skewers,Arunachal Pradesh,non-veg,none,300,15,20.0,25,4,600,Vitamin B
Pork with Sweet Corn,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Spicy Vegetable Biryani with Raita,Arunachal Pradesh,veg,dairy,400,50,15.0,12,6,800,"Vitamin A, C"
Chicken Curry with Mushrooms,Arunachal Pradesh,non-veg,none,350,30,20.0,25,5,700,Vitamin B
Pork with Green Beans and Tomatoes,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Pakoras with Mint Raita,Arunachal Pradesh,veg,gluten,250,35,12.0,6,4,600,"Vitamin A, C"
Pork with Eggplant and Mushrooms,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Vegetable Noodles with Peppers,Arunachal Pradesh,veg,gluten,350,50,10.0,15,7,800,"Vitamin A, C"
Chicken Soup with Spinach,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Pork with Pumpkin and Carrots,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Korma with Naan,Arunachal Pradesh,veg,dairy,400,50,15.0,12,6,800,"Vitamin A, C"
Chicken and Carrots Stir Fry,Arunachal Pradesh,non-veg,none,300,20,15.0,25,4,600,Vitamin B
Pork with Eggplant and Beans,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Vegetable Pakoras with Yogurt,Arunachal Pradesh,veg,gluten,250,35,12.0,6,4,600,"Vitamin A, C"
Chicken Skewers with Rice,Arunachal Pradesh,non-veg,none,300,15,20.0,25,4,600,Vitamin B
Pork with Peppers and Carrots,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Curry with Barley,Arunachal Pradesh,veg,gluten,250,30,5.0,8,4,500,"Vitamin A, C"
Chicken and Spinach Stew,Arunachal Pradesh,non-veg,none,350,30,20.0,25,5,700,Vitamin B
Pork with Pumpkin and Beans,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Fritters with Spinach,Arunachal Pradesh,veg,gluten,250,30,10.0,5,2,500,"Vitamin A, C"
Chicken and Vegetable Noodles,Arunachal Pradesh,non-veg,gluten,350,50,15.0,30,6,800,Vitamin B
Pork with Sweet Potatoes and Beans,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Soup with Eggplant,Arunachal Pradesh,veg,none,250,30,5.0,8,4,500,"Vitamin A, C"
Chicken with Beans and Carrots,Arunachal Pradesh,non-veg,none,300,20,15.0,25,4,600,Vitamin B
Pork with Eggplant and Peppers,Arunachal Pradesh,non-veg,none,350,25,20.0,25,4,700,Vitamin B
Vegetable Pakoras with Yogurt Dip,Arunachal Pradesh,veg,gluten,250,35,12.0,6,4,600,"Vitamin A, C"
Chicken Skewers with Rice and Vegetables,Arunachal Pradesh,non-veg,none,300,15,20.0,25,4,600,Vitamin B
Pork with Sweet Corn and Peppers,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Spicy Vegetable Biryani with Yogurt,Arunachal Pradesh,veg,dairy,400,50,15.0,12,6,800,"Vitamin A, C"
Chicken Curry with Mushrooms and Beans,Arunachal Pradesh,non-veg,none,350,30,20.0,25,5,700,Vitamin B
Pork with Spinach and Sweet Potatoes,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Korma with Barley,Arunachal Pradesh,veg,dairy,400,50,15.0,12,6,800,"Vitamin A, C"
Chicken and Carrots Soup,Arunachal Pradesh,non-veg,none,250,20,5.0,20,3,400,Vitamin B
Pork with Eggplant and Sweet Potatoes,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Soup with Lentils,Arunachal Pradesh,veg,gluten,250,30,5.0,8,4,500,"Vitamin A, C"
Chicken and Beans Stew,Arunachal Pradesh,non-veg,none,350,25,20.0,25,5,700,Vitamin B
Pork with Sweet Corn and Beans,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Curry with Beans,Arunachal Pradesh,veg,gluten,250,30,5.0,8,4,500,"Vitamin A, C"
Chicken and Vegetable Biryani with Raita,Arunachal Pradesh,non-veg,dairy,450,50,15.0,30,6,800,Vitamin B
Pork with Pumpkin and Green Beans,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Vegetable Pakoras with Yogurt Dip,Arunachal Pradesh,veg,gluten,250,30,10.0,5,4,500,"Vitamin A, C"
Chicken Skewers with Vegetables and Rice,Arunachal Pradesh,non-veg,none,300,15,20.0,25,4,600,Vitamin B
Pork with Peppers and Sweet Corn,Arunachal Pradesh,non-veg,none,350,25,20.0,25,6,700,Vitamin B
Spicy Vegetable Biryani with Yogurt Dip,Arunachal Pradesh,veg,dairy,400,50,15.0,12,6,800,"Vitamin A, C"
Pulihora,Andhra Pradesh,Veg,Nuts,300,50,12.0,6,4,800,Vitamin C
Biryani,Andhra Pradesh,Non-Veg,"Nuts, Dairy",600,70,20.0,30,8,1200,"Vitamin B, Vitamin C"
Gongura Pachadi,Andhra Pradesh,Veg,Nuts,150,10,8.0,3,5,500,Vitamin C
Andhra Chicken Curry,Andhra Pradesh,Non-Veg,Dairy,450,20,35.0,25,2,1100,"Vitamin B, Vitamin C"
Pesarattu,Andhra Pradesh,Veg,None,250,45,10.0,12,2,600,Vitamin B
Dosa,Andhra Pradesh,Veg,None,200,30,7.0,5,1,400,Vitamin B
Avakaya,Andhra Pradesh,Veg,None,180,10,8.0,2,6,700,Vitamin C
Pulled Fish Curry,Andhra Pradesh,Non-Veg,Dairy,350,15,20.0,25,3,900,"Vitamin B, Vitamin C"
Bagara Rice,Andhra Pradesh,Veg,Nuts,500,65,15.0,8,5,950,"Vitamin B, Vitamin C"
Hyderabadi Biryani,Andhra Pradesh,Non-Veg,"Nuts, Dairy",650,75,25.0,35,10,1300,"Vitamin B, Vitamin C"
Chinta Chiguru Pappu,Andhra Pradesh,Veg,None,200,30,5.0,8,2,400,"Vitamin A, Vitamin C"
Kachchi Biryani,Andhra Pradesh,Non-Veg,"Nuts, Dairy",700,80,25.0,30,12,1400,"Vitamin B, Vitamin C"
Kandi Pachadi,Andhra Pradesh,Veg,None,130,15,7.0,5,3,300,Vitamin C
Brahmin's Lunch,Andhra Pradesh,Veg,Nuts,400,50,12.0,15,8,800,"Vitamin B, Vitamin C"
Curd Rice,Andhra Pradesh,Veg,Dairy,350,45,10.0,12,4,600,"Vitamin B, Vitamin C"
Mutton Curry,Andhra Pradesh,Non-Veg,Dairy,500,20,35.0,25,6,1200,"Vitamin B, Vitamin C"
Pesarattu Dosa,Andhra Pradesh,Veg,None,260,50,12.0,14,3,650,Vitamin B
Cabbage Curry,Andhra Pradesh,Veg,None,150,20,5.0,4,2,300,Vitamin C
Gongura Chicken,Andhra Pradesh,Non-Veg,Dairy,450,25,30.0,25,3,1100,"Vitamin B, Vitamin C"
Mango Pachadi,Andhra Pradesh,Veg,None,100,20,5.0,1,6,250,Vitamin C
Egg Curry,Andhra Pradesh,Non-Veg,Dairy,400,10,30.0,20,2,800,"Vitamin B, Vitamin C"
Ulavacharu,Andhra Pradesh,Veg,None,200,20,8.0,10,4,500,Vitamin C
Murgh Musallam,Andhra Pradesh,Non-Veg,Dairy,600,25,40.0,30,5,1300,"Vitamin B, Vitamin C"
Vegetable Biryani,Andhra Pradesh,Veg,Nuts,550,70,15.0,10,6,1000,"Vitamin B, Vitamin C"
Sambar,Andhra Pradesh,Veg,None,200,30,8.0,6,4,500,"Vitamin A, Vitamin C"
Chili Chicken,Andhra Pradesh,Non-Veg,Dairy,450,20,30.0,25,7,1000,"Vitamin B, Vitamin C"
Kandipappu,Andhra Pradesh,Veg,None,180,25,5.0,10,3,400,"Vitamin A, Vitamin C"
Dondakaya Fry,Andhra Pradesh,Veg,None,200,15,8.0,4,2,300,Vitamin C
Shahi Korma,Andhra Pradesh,Non-Veg,"Dairy, Nuts",500,30,35.0,25,8,1100,"Vitamin B, Vitamin C"
Poornalu,Andhra Pradesh,Veg,Nuts,300,50,10.0,6,4,700,"Vitamin B, Vitamin C"
Bendakaya Fry,Andhra Pradesh,Veg,None,150,20,8.0,4,3,350,Vitamin C
Bhindi Masala,Andhra Pradesh,Veg,None,200,25,10.0,5,2,400,Vitamin C
Mutton Keema,Andhra Pradesh,Non-Veg,Dairy,500,15,35.0,30,5,1200,"Vitamin B, Vitamin C"
Pappu Charu,Andhra Pradesh,Veg,None,180,20,5.0,7,2,350,Vitamin C
Chicken Fry,Andhra Pradesh,Non-Veg,Dairy,450,15,25.0,30,5,1000,"Vitamin B, Vitamin C"
Mirchi Bajji,Andhra Pradesh,Veg,None,250,30,15.0,5,4,500,Vitamin C
Chana Dal Curry,Andhra Pradesh,Veg,None,220,30,6.0,8,3,400,"Vitamin A, Vitamin C"
Fish Fry,Andhra Pradesh,Non-Veg,Dairy,350,15,20.0,25,4,900,"Vitamin B, Vitamin C"
Aloo Curry,Andhra Pradesh,Veg,None,200,25,7.0,4,3,400,Vitamin C
Pesarattu Upma,Andhra Pradesh,Veg,None,250,40,8.0,12,3,650,Vitamin B
Mutton Shorba,Andhra Pradesh,Non-Veg,Dairy,350,10,25.0,20,6,800,"Vitamin B, Vitamin C"
Gutti Vankaya,Andhra Pradesh,Veg,Nuts,220,15,10.0,7,4,500,Vitamin C
Pulao,Andhra Pradesh,Veg,Nuts,500,65,15.0,10,6,950,"Vitamin B, Vitamin C"
Kobbari Pachadi,Andhra Pradesh,Veg,Nuts,150,10,7.0,2,5,400,Vitamin C
Chakna,Andhra Pradesh,Veg,Nuts,250,20,10.0,8,4,600,Vitamin B
Kothimeera Pachadi,Andhra Pradesh,Veg,None,120,10,5.0,2,2,300,Vitamin C
Beef Curry,Andhra Pradesh,Non-Veg,Dairy,550,20,40.0,35,5,1200,"Vitamin B, Vitamin C"
Vegetable Kurma,Andhra Pradesh,Veg,Nuts,400,50,12.0,10,5,800,"Vitamin B, Vitamin C"
Kobbari Mithai,Andhra Pradesh,Veg,Nuts,300,25,15.0,10,20,600,Vitamin C
Kura,Andhra Pradesh,Veg,None,180,15,7.0,6,2,400,Vitamin C
Vankaya Curry,Andhra Pradesh,Veg,None,200,20,10.0,5,3,400,Vitamin C
Pesarattu Dosa,Andhra Pradesh,Veg,None,270,55,12.0,14,3,650,Vitamin B
Pulihora Rice,Andhra Pradesh,Veg,Nuts,320,45,12.0,7,5,700,Vitamin C
Mutton Biryani,Andhra Pradesh,Non-Veg,"Nuts, Dairy",650,75,25.0,35,10,1300,"Vitamin B, Vitamin C"
Pappu,Andhra Pradesh,Veg,None,200,20,5.0,8,2,400,Vitamin C
Sambar Rice,Andhra Pradesh,Veg,None,350,50,10.0,12,5,600,"Vitamin A, Vitamin C"
Egg Dosa,Andhra Pradesh,Non-Veg,Dairy,400,30,20.0,18,4,800,"Vitamin B, Vitamin C"
Gongura Mutton,Andhra Pradesh,Non-Veg,Dairy,500,20,35.0,30,6,1200,"Vitamin B, Vitamin C"
Chakodi,Andhra Pradesh,Veg,None,250,30,12.0,8,5,600,Vitamin B
Guttivankaya Kura,Andhra Pradesh,Veg,Nuts,200,15,10.0,5,4,500,Vitamin C
Chicken Pakora,Andhra Pradesh,Non-Veg,Dairy,350,20,25.0,20,5,900,"Vitamin B, Vitamin C"
Tomato Rice,Andhra Pradesh,Veg,None,300,60,10.0,8,5,700,Vitamin C
Coriander Rice,Andhra Pradesh,Veg,None,320,50,12.0,7,4,650,Vitamin C
Mutton Korma,Andhra Pradesh,Non-Veg,Dairy,600,25,35.0,30,6,1200,"Vitamin B, Vitamin C"
Chepala Pulusu,Andhra Pradesh,Non-Veg,Dairy,400,15,25.0,20,4,900,"Vitamin B, Vitamin C"
Onion Uttapam,Andhra Pradesh,Veg,None,300,45,10.0,8,3,600,Vitamin B
Masala Dosa,Andhra Pradesh,Veg,None,250,40,10.0,7,2,600,Vitamin B
Chintakaya Pachadi,Andhra Pradesh,Veg,None,150,15,5.0,2,5,400,Vitamin C
Tomato Pachadi,Andhra Pradesh,Veg,None,130,12,5.0,2,6,300,Vitamin C
Vegetable Sambar,Andhra Pradesh,Veg,None,200,25,8.0,5,4,500,"Vitamin A, Vitamin C"
Mutton Keema Curry,Andhra Pradesh,Non-Veg,Dairy,550,15,35.0,30,6,1200,"Vitamin B, Vitamin C"
Kandipappu Kura,Andhra Pradesh,Veg,None,180,20,6.0,10,3,400,Vitamin C
Methi Thepla,Andhra Pradesh,Veg,None,250,40,12.0,10,4,650,Vitamin C
Pappu Charu Rice,Andhra Pradesh,Veg,None,200,35,8.0,6,2,400,"Vitamin A, Vitamin C"
Chepala Vepudu,Andhra Pradesh,Non-Veg,Dairy,400,20,25.0,20,4,900,"Vitamin B, Vitamin C"
Vegetable Upma,Andhra Pradesh,Veg,None,250,40,8.0,7,3,600,Vitamin B
Bhindi Do Pyaza,Andhra Pradesh,Veg,None,180,20,7.0,5,3,400,Vitamin C
Mutton Seekh Kebabs,Andhra Pradesh,Non-Veg,Dairy,500,15,35.0,30,5,1100,"Vitamin B, Vitamin C"
Masala Pappu,Andhra Pradesh,Veg,None,180,25,6.0,8,2,400,Vitamin C
Coconut Chutney,Andhra Pradesh,Veg,Nuts,150,5,12.0,2,4,300,Vitamin C
Mutton Liver Fry,Andhra Pradesh,Non-Veg,Dairy,400,15,30.0,25,6,1000,"Vitamin B, Vitamin C"
Palak Curry,Andhra Pradesh,Veg,None,200,15,7.0,5,4,400,"Vitamin A, Vitamin C"
Chickpea Salad,Andhra Pradesh,Veg,None,220,30,5.0,10,2,400,Vitamin C
Hyderabadi Chicken Biryani,Andhra Pradesh,Non-Veg,"Nuts, Dairy",650,70,25.0,35,10,1300,"Vitamin B, Vitamin C"
Nellore Chepala Pulusu,Andhra Pradesh,Non-Veg,Dairy,400,20,30.0,20,4,900,"Vitamin B, Vitamin C"
Tomato Chutney,Andhra Pradesh,Veg,None,100,15,4.0,1,6,250,Vitamin C
Tandoori Chicken,Andhra Pradesh,Non-Veg,None,500,10,25.0,30,5,1100,"Vitamin B, Vitamin C"
Vegetable Pakoras,Andhra Pradesh,Veg,None,300,25,15.0,8,6,700,Vitamin C
Kachori,Andhra Pradesh,Veg,Nuts,350,30,20.0,8,12,600,Vitamin C
Chicken Kebab,Andhra Pradesh,Non-Veg,Dairy,400,15,25.0,20,4,800,"Vitamin B, Vitamin C"
Veg Korma,Andhra Pradesh,Veg,Nuts,400,50,12.0,10,5,800,"Vitamin B, Vitamin C"
Chicken Biryani,Andhra Pradesh,Non-Veg,"Nuts, Dairy",650,75,25.0,30,10,1300,"Vitamin B, Vitamin C"
Kothimeera Kura,Andhra Pradesh,Veg,None,180,15,6.0,7,2,350,Vitamin C
Vegetable Korma,Andhra Pradesh,Veg,Nuts,400,50,12.0,10,5,800,"Vitamin B, Vitamin C"
Gongura Mutton Curry,Andhra Pradesh,Non-Veg,Dairy,500,25,35.0,30,5,1100,"Vitamin B, Vitamin C"
Vegetable Curry,Andhra Pradesh,Veg,None,200,25,8.0,5,3,400,Vitamin C
Chicken Saag,Andhra Pradesh,Non-Veg,Dairy,400,20,25.0,20,5,900,"Vitamin B, Vitamin C"
Rava Kesari,Andhra Pradesh,Veg,Nuts,350,45,15.0,6,20,500,Vitamin C
Mutton Seekh Kebab,Andhra Pradesh,Non-Veg,Dairy,500,15,35.0,30,6,1100,"Vitamin B, Vitamin C"
Mutton Rogan Josh,Andhra Pradesh,Non-Veg,Dairy,500,20,35.0,30,6,1200,"Vitamin B, Vitamin C"
Palak Paneer,Andhra Pradesh,Veg,Dairy,400,20,25.0,18,5,800,"Vitamin A, Vitamin C"
Coconut Rice,Andhra Pradesh,Veg,None,300,40,12.0,6,4,650,Vitamin C
Mutton Tikka,Andhra Pradesh,Non-Veg,Dairy,450,15,30.0,25,6,1000,"Vitamin B, Vitamin C"
Veg Samosa,Andhra Pradesh,Veg,None,250,30,15.0,6,4,500,Vitamin C
Rasam,Andhra Pradesh,Veg,None,150,20,5.0,4,2,350,Vitamin C
Fish Curry,Andhra Pradesh,Non-Veg,Dairy,400,20,25.0,20,4,800,"Vitamin B, Vitamin C"
Mutton Dum Biryani,Andhra Pradesh,Non-Veg,"Nuts, Dairy",650,70,25.0,30,12,1300,"Vitamin B, Vitamin C"
Bhindi Fry,Andhra Pradesh,Veg,None,200,15,8.0,5,2,350,Vitamin C
Chepala Pulusu,Andhra Pradesh,Non-Veg,Dairy,400,20,30.0,20,4,900,"Vitamin B, Vitamin C"
Gongura Chicken Curry,Andhra Pradesh,Non-Veg,Dairy,450,25,30.0,25,3,1100,"Vitamin B, Vitamin C"
Vegetable Pulao,Andhra Pradesh,Veg,Nuts,500,65,15.0,10,6,1000,"Vitamin B, Vitamin C"
Chicken Saagwala,Andhra Pradesh,Non-Veg,Dairy,400,20,25.0,20,5,900,"Vitamin B, Vitamin C"
Chicken Curry,Andhra Pradesh,Non-Veg,Dairy,450,20,30.0,25,6,1000,"Vitamin B, Vitamin C"
Palak Chicken,Andhra Pradesh,Non-Veg,Dairy,400,20,25.0,20,5,900,"Vitamin B, Vitamin C"
Chana Masala,Andhra Pradesh,Veg,None,250,40,10.0,8,6,600,Vitamin C
Rogan Josh,Jammu and Kashmir,non-veg,none,450,12,30.0,35,6,700,"Vitamin B12, Vitamin C"
Yakhni,Jammu and Kashmir,non-veg,none,400,8,25.0,30,5,650,"Vitamin B12, Vitamin C"
Kashmiri Pulao,Jammu and Kashmir,veg,nuts,350,60,10.0,10,8,500,"Vitamin A, Vitamin C"
Kahwa,Jammu and Kashmir,vegan,none,70,0,0.0,0,0,0,none
Gushtaba,Jammu and Kashmir,non-veg,none,500,15,35.0,40,7,800,"Vitamin B12, Vitamin C"
Dum Aloo,Jammu and Kashmir,veg,none,300,20,15.0,10,5,400,"Vitamin A, Vitamin C"
Marchwangan Korma,Jammu and Kashmir,non-veg,nuts,450,14,28.0,35,6,700,"Vitamin B12, Vitamin C"
Paneer Tikka,Jammu and Kashmir,veg,dairy,250,12,15.0,20,4,300,"Vitamin A, Vitamin C"
Kashmiri Rista,Jammu and Kashmir,non-veg,none,480,10,30.0,40,7,750,"Vitamin B12, Vitamin C"
Methi Thepla,Jammu and Kashmir,veg,none,320,55,10.0,8,6,500,"Vitamin A, Vitamin C"
Kashmiri Naan,Jammu and Kashmir,veg,gluten,250,45,5.0,8,2,350,"Vitamin B, Vitamin C"
Pulao,Jammu and Kashmir,veg,none,350,60,8.0,12,7,400,"Vitamin A, Vitamin C"
Kashmiri Chai,Jammu and Kashmir,vegan,none,100,5,3.0,2,0,25,none
Kashmiri Dum Aloo,Jammu and Kashmir,veg,none,320,45,12.0,8,6,450,"Vitamin A, Vitamin C"
Aloo Gobi,Jammu and Kashmir,veg,none,280,40,10.0,8,5,350,"Vitamin A, Vitamin C"
Kashmiri Kofta,Jammu and Kashmir,veg,dairy,400,20,30.0,20,10,500,"Vitamin A, Vitamin C"
Kashmiri Qeema,Jammu and Kashmir,non-veg,none,500,15,35.0,40,8,750,"Vitamin B12, Vitamin C"
Roti,Jammu and Kashmir,veg,gluten,150,30,1.0,4,0,200,none
Chaman Kaliya,Jammu and Kashmir,veg,dairy,320,25,15.0,10,8,400,"Vitamin A, Vitamin C"
Zafrani Kebab,Jammu and Kashmir,non-veg,none,450,15,30.0,30,5,650,"Vitamin B12, Vitamin C"
Kashmiri Kebab,Jammu and Kashmir,non-veg,none,500,12,35.0,40,7,700,"Vitamin B12, Vitamin C"
Kashmiri Mutton Curry,Jammu and Kashmir,non-veg,none,550,20,40.0,45,8,800,"Vitamin B12, Vitamin C"
Kashmiri Saag,Jammu and Kashmir,veg,none,300,15,12.0,8,4,250,"Vitamin A, Vitamin C"
Kashmiri Seekh Kebab,Jammu and Kashmir,non-veg,none,400,10,25.0,35,5,600,"Vitamin B12, Vitamin C"
Shami Kebab,Jammu and Kashmir,non-veg,none,450,12,30.0,35,6,700,"Vitamin B12, Vitamin C"
Kashmiri Fish Curry,Jammu and Kashmir,non-veg,none,400,15,25.0,30,4,650,"Vitamin B12, Vitamin C"
Samosa,Jammu and Kashmir,veg,gluten,250,30,15.0,10,5,300,"Vitamin A, Vitamin C"
Kashmiri Mushroom Korma,Jammu and Kashmir,veg,none,350,20,10.0,10,7,400,"Vitamin A, Vitamin C"
Kashmiri Chaat,Jammu and Kashmir,veg,none,300,45,15.0,12,5,500,"Vitamin A, Vitamin C"
